ChemicalName	CASRN	MW	LogP	LogS	LogVP	MP	BP	Lys	Cys	avg-Lys-Cys	DPRA	hCLAT	Keratino	OECD	PosNeg	Training/Test
4-Methoxyacetophenone	100-06-1	150.17	1.74	-1.784	-2.191	38.5	258	-0.1	1.6	0.7	0	0	1	1	Neg	Training
Benzaldehyde	100-52-7	106.12	1.48	-1.208	0.104	-26	179	0	7.2	3.6	0	1	1	0	Neg	Training
Cyclamen aldehyde 	103-95-7	190.29	3.40	-3.460	-2.648	16.77	234	1	18.9	9.95	1	0	1	1	Neg	Training
Chlorobenzene	108-90-7	112.56	2.84	-2.354	1.078	-45.2	131.7	1.3	0.4	0.85	0	1	0	0	Neg	Training
Hexane	110-54-3	86.18	3.90	-3.958	2.180	-95.3	68.7	1.3	-0.5	0.43	0	0	1	0	Neg	Training
Methyl salicylate	119-36-8	152.15	2.55	-1.313	-1.465	-8	222.9	1.6	0.4	3.15	0	0	0	0	Neg	Training
Benzyl benzoate	120-51-4	212.25	3.97	-4.139	-3.650	21	323.5	3	0.2	1.6	0	0	1	1	Neg	Training
Ethyl vanillin 	121-32-4	166.18	1.58	-1.771	-4.984	77.5	294	9.7	1.1	5.4	0	0	1	1	Neg	Training
Sulfanilic acid	121-57-3	173.19	-2.16	-1.206	-6.695	288	300	0.5	5.3	2.9	0	0	0	0	Neg	Training
Octanoic acid	124-07-2	144.21	3.05	-2.262	-2.431	16.3	239	0.9	0	0.45	0	1	0	0	Neg	Training
Xylene	1330-20-7	106.08	3.16	-3.001	0.9025	-47	138.5	0.2	0.4	0.3	0	0	0	0	Neg	Training
Sodium  lauryl sulfate	151-21-3	288.38	1.60	-0.460	-12.328	205.5	216	48.5	0	24.25	1	0	0	0	Neg	Training
Lactic acid	50-21-5	90.08	-0.72	1.045	-1.089	18	204.2	-0.2	1.5	0.6	0	0	0	0	Neg	Training
Glycerol	56-81-5	92.09	-1.76	1.036	-3.775	18.2	290	0.8	1.2	0.95	0	0	0	0	Neg	Training
Isopropanol	67-63-0	60.10	0.05	1.221	1.657	-89.5	82.3	0.5	1.2	0.82	0	0	0	0	Neg	Training
Salicylic acid	69-72-7	138.12	2.26	-1.790	-4.086	158	211	1	4.3	4.12	0	1	0	0	Neg	Training
1-Butanol	71-36-3	74.12	0.88	-0.069	0.826	-89.8	117.7	-0.1	0.2	0.1	0	1	0	0	Neg	Training
Benzalkonium chloride	8001-54-5	283.88	1.68	-5.94	-11.452	241	384.54	0	2.8	1.4	0	0	0	0	Neg	Training
Diethyl phthalate	84-66-2	222.24	2.42	-2.313	-2.678	-40.5	295	0	0.8	0.4	0	1	0	0	Neg	Training
6-Methylcoumarin	92-48-8	160.17	2.06	-2.130	-3.291	76.5	304	1	-0.2	0.4	0	0	1	0	Neg	Training
2-Methoxy-4-methylphenol	93-51-6	138.16	1.88	-1.820	-1.620	5.5	221	11.5	0	7.1	1	1	0	1	Neg	Training
