ChemicalName	CASRN	MW	LogP	LogS	LogVP	MP	BP	hCLAT.CD86.CD54.MIN	avgDepletionLysCys	ARE.EC1.5	PosNeg	Category	TrainingTest
Cinnamic aldehyde	104-55-2	132.16	1.90	-1.969	-1.539	-8	246	10.3	58.7	13.15	Pos	1A	Training
4-Phenylenediamine	106-50-3	108.14	-0.30	-0.466	-2.301	146	267	4.645	58.25	8.39	Pos	1A	Training
Glyoxal	107-22-2	58.04	-1.66	1.236	2.407	15	50.4	286.7	54.575	118.435	Pos	1A	Training
3-Dimethylaminopropylamine	109-55-7	102.18	-0.45	0.991	1.000	-60	133	82.1	4.55	85.8	Pos	1A	Training
Methyl 2-nonynoate	111-80-8	168.24	3.10	-3.072	-1.126	38	224.5	91.8	51.3	1.8	Pos	1A	Training
"3,3, 4,5-Tetrachlorosalicylanilide"	1154-59-2	351.02	5.87	-6.341	-9.523	161	488.1	3	22.9	1.08	Pos	1A	Training
Propyl gallate	121-79-9	212.20	1.80	-1.783	-6.389	130	363.6	23.77	43.25	191	Pos	1A	Training
Benzylidene acetone	122-57-6	146.19	2.07	-2.305	-1.907	42	261	21.4	46	8.35	Pos	1A	Training
Diethyl maleate	141-05-9	172.18	2.20	-1.090	-0.979	-9	223	63	89.3	5.7	Pos	1A	Training
"1,2-Benzisothiazolin-3-one"	2634-33-5	151.19	0.64	-0.849	-4.590	121.6	339.5	0.54	51.85	3.2	Pos	1A	Training
"1,2-Dibromo-2,4-dicyanobutane"	35691-65-7	265.93	1.63	-2.311	-4.299	52	327.8	9	52.15	7.89	Pos	1A	Training
Streptomycin sulfate	3810-74-0	581.57	-3.61	-1.48	-11.48	123.57	326.63	2001	1.125	2001	Pos	1A	Training
Formaldehyde	50-00-0	30.03	0.35	1.121	5.890	-148.5	-19.1	1002.65	24.225	100.1	Pos	1A	Training
"2-Nitro-1,4-phenylenediamine"	5307-14-2	153.14	0.53	-0.772	-4.252	140	134	276.7	48.35	11.5	Pos	1A	Training
Kathon CG	55965-84-9	132.30	1.38	-1.61	-1.2218	91.85	229	111.9	52.075	2	Pos	1A	Training
trans-2-Hexenal	6728-26-3	98.15	1.58	-1.271	0.820	-55.6	146.5	5.7	53.525	83.4	Pos	1A	Training
Diphenylcyclopropenone	886-38-4	"
206.25"	3.25	-3.485	-2.625	119	296	3.9	50.7	0.5	Pos	1A	Training
2-Aminophenol	95-55-6	109.13	0.62	-0.737	-2.020	174	153	1.1	57.15	1.3	Pos	1A	Training
"2,4-Dinitrochlorobenzene "	97-00-7	202.55	2.17	-4.404	-4.071	53	315	1.92	60	2.5	Pos	1A	Training
Cinnamyl alcohol	104-54-1	134.18	1.95	-1.336	-1.620	33	250	110	7.6	110.51	Pos	1B	Training
Geraniol	106-24-1	154.25	3.56	-3.188	-1.523	-15	230	123.3	2.65	159.9	Pos	1B	Training
Hydroxycitronellal	107-75-5	172.26	2.11	-1.753	-2.237	23	241	314.345	21	55.2	Pos	1B	Training
"3,4-dihydrocoumarin"	119-84-6	148.16	0.97	-1.694	-2.083	25	272	531.7	19.85	2001	Pos	1B	Training
"1,4-Dihydroquinone  "	123-31-9	110.11	0.59	-0.184	-4.620	172.3	287	4.3	72.1	9.8	Pos	1B	Training
"5-Methyl-2,3-hexanedione (Acetyl isovaleryl)"	13706-86-0	128.17	0.06	1.917	0.939	-16.7	138	211.6	16.65	49.79	Pos	1B	Training
Tetramethylthiuram disulfide	137-26-8	240.44	1.73	-3.904	-4.763	155.6	129	3	52.1	2.115	Pos	1B	Training
2-Mercaptobenzothiazole	149-30-4	167.25	2.42	-3.182	-3.334	181	338.8	52.8	51.3	65.07	Pos	1B	Training
